package_name,repo_url,changelog_file,migration_file,readme_breaking_file,breaking_change_in_releases,other_files,event_exist,reason,external,ext
egg-mock,https://github.com/eggjs/egg-mock,CHANGELOG.md,,,TRUE,,,,,
doctoc,https://github.com/thlorenz/doctoc,,,,FALSE,,,no,,https://www.npmjs.com/package/doctoc
flow-typed,https://github.com/flow-typed/flow-typed,CHANGELOG.md,,,TRUE,,,,,https://flow-typed.github.io/flow-typed/
react-window,https://github.com/bvaughn/react-window,CHANGELOG.md,,,TRUE,,,,,https://react-window.now.sh/
http-errors,https://github.com/jshttp/http-errors,,,,FALSE,HISTORY.md,,,,
@vue/eslint-config-airbnb,https://github.com/vuejs/eslint-config-airbnb,packages/eslint-config-airbnb/CHANGELOG.md,,,TRUE,,,,,
emotion,https://github.com/emotion-js/emotion,CHANGELOG.md,,,TRUE,,TRUE,,,https://emotion.sh/
git-cz,https://github.com/streamich/git-cz,CHANGELOG.md,,,TRUE,,TRUE,,,
docdash,https://github.com/clenemt/docdash,CHANGELOG.md,,,TRUE,,,,,http://clenemt.github.io/docdash/
nconf,https://github.com/flatiron/nconf,CHANGELOG.md,,,TRUE,,TRUE,,,https://github.com/indexzero/nconf
debounce,https://github.com/sindresorhus/debounce,,,,TRUE,,,,,
google-protobuf,https://github.com/protocolbuffers/protobuf-javascript,,,,FALSE,,TRUE,,,
gulp-nsp,https://github.com/nodesecurity/gulp-nsp,,,,FALSE,,,no,,
mockery,https://github.com/mfncooper/mockery,,,,FALSE,,,only one,,
ember-qunit,https://github.com/emberjs/ember-qunit,CHANGELOG.md,,,TRUE,,TRUE,,,
npm-run-path,https://github.com/sindresorhus/npm-run-path,,,,TRUE,,,,,
@ember/optional-features,https://github.com/emberjs/ember-optional-features,CHANGELOG.md,,,TRUE,,TRUE,,,
path-key,https://github.com/sindresorhus/path-key,,,,TRUE,,,,,
mockdate,https://github.com/boblauer/MockDate,CHANGELOG.md,,,FALSE,,,,,
nopt,https://github.com/npm/nopt,CHANGELOG.md,,,TRUE,,TRUE,,,
redux-mock-store,https://github.com/arnaudbenard/redux-mock-store,,,,TRUE,,,,,
json-stable-stringify,https://github.com/ljharb/json-stable-stringify,CHANGELOG.md,,,FALSE,,,,,
@ionic/swiftlint-config,https://github.com/ionic-team/swiftlint-config,,,,FALSE,,,no,,
esrecurse,https://github.com/estools/esrecurse,,,,FALSE,,,no,,
autoprefixer-loader,https://github.com/passy/autoprefixer-loader,,,README.md,FALSE,,,,,
@rollup/pluginutils,https://github.com/rollup/plugins,packages/pluginutils/CHANGELOG.md,,,FALSE,,TRUE,,,
karma-junit-reporter,https://github.com/karma-runner/karma-junit-reporter,CHANGELOG.md,,,TRUE,,,,,
rollup-plugin-license,https://github.com/mjeanroy/rollup-plugin-license,CHANGELOG.md,,README.md,FALSE,,,,,
isparta-loader,https://github.com/deepsweet/isparta-loader,,,,TRUE,,,,,
p-try,https://github.com/sindresorhus/p-try,,,,TRUE,,,,,
object-keys,https://github.com/ljharb/object-keys,CHANGELOG.md,,,FALSE,,,,,
gulp-git,https://github.com/stevelacy/gulp-git,,,,TRUE,,,,,
all-contributors-cli,https://github.com/all-contributors/all-contributors-cli,,,,TRUE,,,,,https://allcontributors.org
worker-loader,https://github.com/webpack-contrib/worker-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
remark-gfm,https://github.com/remarkjs/remark-gfm,,,,FALSE,,FALSE,no,,https://remark.js.org
gulp-changed,https://github.com/sindresorhus/gulp-changed,,,,TRUE,,,,,
react-virtualized,https://github.com/bvaughn/react-virtualized,CHANGELOG.md,,,FALSE,,TRUE,,,http://bvaughn.github.io/react-virtualized/
reactstrap,https://github.com/reactstrap/reactstrap,CHANGELOG.md,,,TRUE,,TRUE,,,https://reactstrap.github.io
cli-cursor,https://github.com/sindresorhus/cli-cursor,,,,TRUE,,,,,
get-stream,https://github.com/sindresorhus/get-stream,,,,TRUE,,,,,
hosted-git-info,https://github.com/npm/hosted-git-info,CHANGELOG.md,,,TRUE,,TRUE,,,
tapable,https://github.com/webpack/tapable,,,,TRUE,,,,,
parent-module,https://github.com/sindresorhus/parent-module,,,,TRUE,,,,,
sax,https://github.com/isaacs/sax-js,,,,FALSE,,,no,,
expose-loader,https://github.com/webpack-contrib/expose-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
blanket,https://github.com/alex-seville/blanket,,,,FALSE,,,only one,,http://blanketjs.org
lodash.uniq,https://github.com/lodash/lodash,,,,TRUE,,,,https://github.com/lodash/lodash/wiki/Changelog,https://lodash.com/
lite-server,https://github.com/johnpapa/lite-server,,,,FALSE,,,,,
eslint-visitor-keys,https://github.com/eslint/js,packages/eslint-visitor-keys/CHANGELOG.md,,,TRUE,,TRUE,,,
chai-http,https://github.com/chaijs/chai-http,,,,TRUE,History.md,,,,http://chaijs.com/plugins/chai-http
common-tags,https://github.com/zspecza/common-tags,,,,TRUE,,,,,
node,https://github.com/aredridel/node-bin-gen,,,,FALSE,,,no,,
@polymer/iron-demo-helpers,https://github.com/PolymerElements/iron-demo-helpers,,,,FALSE,,TRUE,,,https://webcomponents.org/element/PolymerElements/iron-demo-helpers
plop,https://github.com/plopjs/plop,packages/plop/CHANGELOG.md,,,TRUE,,,,,http://plopjs.com
isobject,https://github.com/jonschlinkert/isobject,,,,TRUE,,,,,https://github.com/jonschlinkert
onetime,https://github.com/sindresorhus/onetime,,,,TRUE,,,,,
lodash.set,https://github.com/lodash/lodash,CHANGELOG,,,TRUE,,,,,https://lodash.com/
typescript-eslint-parser,https://github.com/eslint/typescript-eslint-parser,CHANGELOG.md,,,TRUE,,TRUE,,,
types,https://github.com/jestjs/jest,CHANGELOG.md,docs/MigrationGuide.md,,TRUE,website/*,TRUE,,,
follow-redirects,https://github.com/follow-redirects/follow-redirects,,,,FALSE,,,,,
grunt-jscs,https://github.com/jscs-dev/grunt-jscs,,,,TRUE,,,,,
eslint-plugin-filenames,https://github.com/selaux/eslint-plugin-filenames,,,README.md,FALSE,,,,,
csv-parse,https://github.com/adaltas/node-csv,CHANGELOG.md,,,FALSE,,TRUE,,,
